aba;secao;px_width;linha;sistema;campo;titulo_pt;titulo_en;titulo_es;tipo;opcoes;consulta_tabela;tamanho;editavel_adc;obrigatorio_adc;oculto_adc;editavel_alt;obrigatorio_alt;oculto_alt;editavel_bloq;obrigatorio_bloq;oculto_bloq;editavel_cons;obrigatorio_cons;oculto_cons;integracao;fluig_salva
DADOS ADICIONAIS;--;100;1;Protheus;BZ_FILIAL ;Filial      ;Sucursal    ;Branch      ;zoom;{'displayKey':'CODIGO', 'datasetId':'dts_SB1', 'fields':[{'field':'CODIGO', 'label':'Codigo'},{'field':'DESCRICAO', 'search': 'true', 'label':'Descricao'}]};SB1   ;15;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_COD    ;Codigo      ;Codigo      ;Product     ;zoom;{'displayKey':'CODIGO', 'datasetId':'dts_SBM', 'fields':[{'field':'CODIGO', 'label':'Codigo'},{'field':'DESCRICAO', 'search': 'true', 'label':'Descricao'}]};SBM   ;4;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_LOCPAD ;Armazem Pad.;Depos.Estand;Std.Warehous;zoom;{'displayKey':'CODIGO', 'datasetId':'dts_SBM', 'fields':[{'field':'CODIGO', 'label':'Codigo'},{'field':'DESCRICAO', 'search': 'true', 'label':'Descricao'}]};B00   ;27;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_TE     ;TE Padrao   ;TE Estandar ;Stan.TE     ;select;1=Pelo programa | 2=Por OP | 3=Por necessidade                                                                                      ;      ;1;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_TS     ;TS Padrao   ;TS Estandar ;Stand.TS    ;zoom;{'displayKey':'CODIGO', 'datasetId':'dts_LU', 'fields':[{'field':'CODIGO', 'label':'Codigo'},{'field':'DESCRICAO', 'search': 'true', 'label':'Descricao'}]};LU    ;1;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_QE     ;Qtd.Embalag.;Ctd.Embalaje;Qty.Package ;textarea;linhas=2;      ;200;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_EMIN   ;Ponto Pedido;Punto Pedido;Order Point ;select;S=Sim | N=Nao                                                                                                                     ;      ;1;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_CUSTD  ;Custo Stand.;Costo Estand;Std.Cost    ;number;;      ;9;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_UCALSTD;Ult. Calculo;Ult. Calculo;Last Calc.  ;text;;      ;15;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_MCUSTD ;Moeda C.Std ;Moneda C.Est;Std.Cost Cur;number;;      ;9;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_UCOM   ;Ult. Compra ;Ult. Compra ;Last Purch. ;select;S=Solido | L=Liquido | G=Gasoso                                                                                                     ;      ;1;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_ESTSEG ;Seguranca   ;Seguridad   ;Safety Inv. ;number;;      ;9;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_ESTFOR ;Form.Est.Seg;For.Stc.Seg.;Secur. Form.;number;;      ;9;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_FORPRZ ;Form. Prazo ;Form. Plazo ;Term Form.  ;zoom;{'displayKey':'CODIGO', 'datasetId':'dts_SAH', 'fields':[{'field':'CODIGO', 'label':'Codigo'},{'field':'DESCRICAO', 'search': 'true', 'label':'Descricao'}]};SAH   ;2;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_PE     ;Entrega     ;Entrega     ;Deliv.Term  ;number;;      ;3;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_TIPE   ;Tipo Prazo  ;Tipo Plazo  ;Type of Term;number;;      ;14;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_LE     ;Lote Econom.;Lote Econom.;Economic Lot;number;;      ;14;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_LM     ;Lote Minimo ;Lote Minimo ;Minimum Lot ;text;;      ;15;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_TOLER  ;Tolerancia  ;Tolerancia  ;Tolerance   ;date;;      ;8;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_CONINI ;Cons.Inicial;Cons.Inicial;Init.Consump;number;;      ;14;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_DATREF ;Dt. Referenc;Fch Referenc;Reference Dt;number;;      ;14;;;;;;;;;;;;;;
